"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sun Apr 26 13:49:05 UTC 2026","passed","Sun Apr 26 13:49:05 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","21","[gRPC] Get account details. User with active debit card account","tests.suites.gprc","Sun Apr 26 13:49:04 UTC 2026","passed","Sun Apr 26 13:49:04 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:49:05 UTC 2026","passed","Sun Apr 26 13:49:05 UTC 2026","TestOperationsGRPC","test_operations","",""
"","557","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sun Apr 26 13:49:05 UTC 2026","passed","Sun Apr 26 13:49:06 UTC 2026","TestOperationsHTTP","test_operations","",""
"","30","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:49:05 UTC 2026","passed","Sun Apr 26 13:49:05 UTC 2026","TestOperationsGRPC","test_operations","",""
"","560","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:49:04 UTC 2026","passed","Sun Apr 26 13:49:04 UTC 2026","TestOperationsGRPC","test_operations","",""
"","15","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sun Apr 26 13:49:06 UTC 2026","passed","Sun Apr 26 13:49:06 UTC 2026","TestOperationsHTTP","test_operations","",""
"","44","[gRPC] Get user details. User with active credit card account","tests.suites.gprc","Sun Apr 26 13:49:04 UTC 2026","passed","Sun Apr 26 13:49:04 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","515","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:49:04 UTC 2026","passed","Sun Apr 26 13:49:05 UTC 2026","TestOperationsGRPC","test_operations","",""
"","70","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sun Apr 26 13:49:05 UTC 2026","passed","Sun Apr 26 13:49:05 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","554","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sun Apr 26 13:49:06 UTC 2026","passed","Sun Apr 26 13:49:06 UTC 2026","TestOperationsHTTP","test_operations","",""
"","17","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sun Apr 26 13:49:06 UTC 2026","passed","Sun Apr 26 13:49:06 UTC 2026","TestOperationsHTTP","test_operations","",""
